medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total,nextpickuptime,key,trippolyline,nextpolyline
9AAAA2F956089FE51E971AC4941548CB,3/15/13 0:17,3/15/13 0:33,2,-73.985931,40.760651,-74.005302,40.727531,13,CRD,0.5,0.5,0,0,14,3/15/13 1:55,0,w`xwFhkqbM|A{EZcAZaA??`Aj@|@j@zBvAr@b@jAr@^^xA~@~B~AdC|AbCbBj@\nAx@zBvAxBxA|BzAvB|AxB~Ax@d@n@\^RbC|At@f@\Tf@\b@X\Tv@h@|BxAzBxAzBxAxB~A|BtAvBzA|BvAbCbBh@\zA`AzBtArBrAtBtArBtAtBtAtBrA~B|AjCdBdCdB`C~A\T`BfANDjCjAr@\|Ar@rCtA|BjAPFpAl@rAn@tAn@XN`Ab@PHdCjArAr@jAh@|DfB??X@vANl@FnCT|@J,erqwFleubMvALjCTvCX??TwFFiB??sC_AmCo@iC}@o@SeAc@??F]@KBIBGBK^_AhAwCjAwCfAoCjA}CjAwChAuCd@gAL]JYLg@j@uDBMF[Dg@DU`@uAh@}BDWn@qCTy@`@cBFYzAmH??|B~@lBx@dCfA`Bn@??Ib@
9AAAA2F956089FE51E971AC4941548CB,3/15/13 1:55,3/15/13 2:02,1,-73.992409,40.721363,-74.001778,40.740311,8,CRD,0.5,0.5,1,0,10,3/15/13 2:07,1,}jpwFzsrbMQv@k@rC??qCs@OGOCCAEAs@Q_D}@wA_@YI??IXw@~Cq@jCAn@Id@UdA_@tAQ|@CDMRSpAWfBKb@KXOd@a@dAiAtCkAvCc@jAQb@Ul@iAlCiAxCiAtCITITUp@CDAD?DADCZ??c@OoEeBOIQG}CuAkB_A_CyAuBwA{ByAmCiBiBiA_C{Ai@_@kAw@_C}A_CwAkCcBeCiB??qFvPyEbO,abtwF~mtbMUr@w@bCsDtL??`@V\NHBn@F@?
9AAAA2F956089FE51E971AC4941548CB,3/15/13 2:07,3/15/13 2:17,2,-74.005119,40.741001,-74.006653,40.710182,10,CRD,0.5,0.5,2.1,0,13.1,3/15/13 2:47,2,gftwF`cubM\H??|EqOnFwP??dCdB`C~A\T`BfANDjCjAr@\|Ar@rCtA|BjAPFpAl@rAn@tAn@XN`Ab@PHdCjArAr@jAh@|DfB??X@vANl@FnCTtCXjCTvCX`CRzBTVB|APL@|BTnBPl@B`BH`@F\Dn@HVBlCV`CV|BRB@L@tCd@RB??jBnAjBpAhBvA??tBaGl@eBhBgF??jB~AdBnAnBtAdB~AlBvARN|AhAvBjB??nB}Dp@_AfAwC,}enwFhlubMt@oBfB{D??W_@MUiBsBq@w@??KYu@wA??N]R_@p@aAfDuE??DD??dCcDj@i@n@g@rA_ABA@A@A??Q[c@}@IOEIIMe@_AYg@GQKYKYMg@EQKg@K}@Gk@Go@IcAU_DGs@WgDKiAIqAC[Cg@Y{DY{DAW?K?AAKCY??QBa@HmAJMBMBK@MBK@SB??QDUFQDKBOBuAJy@FK@_AHuCR{@HgAFa@DgAH??e@DC?A?C?EAECIA}@_@_FuBgCgAWIkAc@wDcBaBo@e@Q]O??Z}Ad@_CFWn@cDn@}CDSDMFUd@gBz@oCFQ??@GDK?CBI@GBIlKgh@??`@_CBKF_@Nw@TqA@Ah@sCBKBSFYF]t@}DDOFWfIqa@XuALm@Lm@n@}CF]x@{D^eBhAgF~AuHJc@VmATq@d@wBVmAVmA??FEBEBC@CHQFKBEDGDEFEFGJAD?F?B?B@BBBBBBBDJZ??Mn@}@nDw@dDStC??c@G{@g@wAs@gCsAgBeAGCECECuC}A{BoAyBmAkAqAuAwAu@{@uB}BoBuBoBuBmBwB??`DaG
9AAAA2F956089FE51E971AC4941548CB,3/15/13 2:47,3/15/13 2:54,1,-73.956451,40.71703,-73.948936,40.724396,6.5,CRD,0.5,0.5,1.4,0,8.9,3/15/13 5:19,3,mpowFvrkbMnBtB??cDbG??mBwBqBsBiByBmBsBqByBiBuBMM_EoEQSuFiGwAcBKD??GUKSm@uCw@mDw@gDI],k~pwFxcjbMk@gC??fFaCvAq@n@]nBqBnAaBl@o@p@y@tA{AX]RS??D?DAFAFADADADAB?B?@?B@D@D@FBDDPLFL^h@NRLLJJLLJHFDNLJJNPHJBDLN\XfAxBlA|BdAlBh@bAx@vATb@j@bAfAnBh@`AxBlDlBlCPRn@|@bCvC~@lArBxBRV??N@@?PNd@`@ZTh@\hEhCZTPLJJTPLLRV^l@Xb@JTFNBDHXFPLd@DNFZBTBPDb@BV@TBn@DbADh@?JDp@NzCDdA@b@?T?P?PAPANAPEVCRERIb@ENCLKV??UfAcEzReAzE??_@xBI`@Mn@_@fBQz@Mp@_@lBqDhRcC`Mo@dDKn@G\EPMl@Ml@I`@G^IZI\GXABCLCJMd@GX[rAS|@c@bBIZk@jCaBdIu@lDCNo@xCq@dDs@hDq@dD[tAYtA??K`@Sv@Qj@CFCFEFs@bDG`@I\GXG\Ih@m@bDo@vC[~AIXEVo@zCu@lD]jBMh@??\PdAd@XL~@b@??q@fDCFCDADCBIJOPCBADy@jC_AxCaA~Ci@hBW|@o@nBaAbDiAdD??fA|@pB~AlA`At@l@p@j@jBxAj@d@fBvArBdBtB`BnBzAv@p@`Ax@jBxAdBtAjB~AdBnAnBtAdB~AlBvARN|AhAvBjB|AvA??kAzD
9AAAA2F956089FE51E971AC4941548CB,3/15/13 5:19,3/15/13 5:27,1,-74.010025,40.711308,-74.004623,40.741669,10,CRD,0.5,0.5,2,0,13,3/15/13 5:32,4,ulnwFravbMc@xA??yBaAa@U}AiAgBoAmByAmBuAqByAeBmAoByAkBsAiBuA??uB`GiA`DSj@M\CJGV??oAMkAKs@CYEk@I}@M}BSGCgCUeCW[CaBQeCWc@E[E]?cDYwBWQCcBQKAwCWoCW{BQUASAyBUsCUqCYqCUoCWcAIsAM_CUcCS_CQOEMC{BQ}BSOAOA_AKe@GKAMEICKGGGGEMOIK??UWqB}Bi@m@iAuAOOg@o@QSs@w@{@eA}@{@iAu@qAy@y@k@??w@bCgDrK,witwFj`ubMK`@??`@V\NHBn@F^H??|EqOnFwP??dCdB`C~A\T`BfANDjCjAr@\|Ar@rCtAVL
9AAAA2F956089FE51E971AC4941548CB,3/15/13 5:32,3/15/13 5:47,1,-74.002563,40.734241,-73.954102,40.719246,16,CSH,0.5,0.5,0,0,17,3/15/13 6:16,5,y{rwFlrtbMdB|@PFpAl@rAn@tAn@XN??bBy@t@]`Ae@j@YtBeAvAo@ZQVIpA_DHU??vEtDTR??hAwCjAwCfAoCjA}CjAwChAuCd@gAL]JYLg@j@uDBMF[Dg@DU`@uAh@}BDWn@qCTy@`@cB??vFzA|A`@rCp@hCv@pBl@LF??NWJWj@wCJa@Hg@b@sBFc@Jc@\cBRaAZwAFYF[Z}Ad@_CFWn@cDn@}CDSDMFUd@gBz@oCFQ??@GDK?CBI@GBIlKgh@??`@_CBKF_@Nw@TqA@Ah@sCBKBSFYF]t@}DDOFWfIqa@XuALm@Lm@n@}CF]x@{D^eBhAgF~AuHJc@VmATq@d@wBVmAVmA??FEBEBC@CHQFKBEDGDEFEFGJAD?F?B?B@BBBBBBBDJZ??Mn@}@nDw@dDStC??c@G{@g@wAs@gCsAgBeAGCECECuC}A{BoAyBmAkAqAuAwAu@{@uB}BoBuBoBuBmBwBqBsBiByBmBsBqByB??~C{F,k~owF`dkbM@E|CyF??lBtBlBtBlBtBnBxBlBtBnBtBtA|ALf@VpB??lB`Ad@X~Ax@bBz@|BnAtC|A~BpA??VLl@XJFFFBHBD@B@F?D@F?XCZCRCXCRETCH?JARUfAcEzReAzE??_@xBI`@Mn@_@fBQz@Mp@_@lBqDhRcC`Mo@dDKn@G\EPMl@Ml@I`@G^IZI\GXABCLCJMd@GX[rAS|@c@bBIZk@jCaBdIu@lDCNo@xCq@dDs@hDq@dD[tAYtA??K`@Sv@Qj@CFCFEFs@bDG`@I\GXG\Ih@m@bDo@vC[~AIXEVo@zCu@lD]jBMh@??\PdAd@XL~@b@??q@fDCFCDADCBIJOPCBADy@jC_AxCaA~Ci@hBW|@o@nBaAbDiAdD??fA|@pB~AlA`At@l@p@j@jBxAj@d@fBvArBdBtB`BnBzAv@p@`Ax@jBxAdBtAjB~AdBnAnBtAdB~AlBvARN|AhAvBjB|AvA??oBtG??uAo@
9AAAA2F956089FE51E971AC4941548CB,3/15/13 6:16,3/15/13 6:36,1,-74.010429,40.711983,-73.870644,40.773811,32.5,CRD,0,0.5,6.5,0,39.5,3/15/13 8:10,6,opnwF|bvbMc@Q??jCkH??Dc@@G?GAGAOOaAm@}Da@cCMq@Ik@??CGCCGc@C[AK?G?K@M@Q@KBIBGDKHSFKFOHUNi@Ne@@ADM?ABK`AmBDEBElA}An@q@hA}AjA}A^i@^g@p@}@vAwB\m@?A@AFG?AZ_@V[BC?ARUJO@A@ALS@??AJM@ALQDI`@i@Xa@d@m@RYNS`DoEZ_@~BeD~CaERUJOJObAqAZa@dAyAdAyAPWBA?ADEFKl@y@l@y@h@s@@C@??A@?LQT[f@q@V]T[f@q@BCFIFK@?vByCz@mANUJSVc@FMHM?ALU|@}AJSHIFGLKHGFGFCHEHCHCJCHAHAHAJAP?~A@nAD~ELdBDt@@T?^B???_@@UBcBHaE@eBHmHBgB@g@@gAB{CBo@@uB@_@??Gq@Cc@Ga@Os@Ou@Ic@GWCQASCc@?E?Y?CBeCGS??BcB@A@wABg@HuEHsE^cYH{GF_EH_HHcGHaF@aA?YASAg@AMAMEe@EWO_AGUEUSg@O_@Yi@OSSYWYOQ_@[QMSMQIQIg@O]Kk@Oa@I_@IMCC?UEoAWaB[}@Qu@QYIC?OEm@SwAe@iBq@g@Ug@WkB}@cAe@iCoAm@Y{Au@oQqIMG}@c@sEyBmDgB_DgByFgDu@c@sBiAuA{@s@a@]UYS]Y]Wc@a@[Ye@a@Y]SSIMKKYYWYy@}@s@{@SWa@i@gA_Bg@s@i@{@c@o@k@aAk@cAMWQY{B_Eg@{@a@u@wAiCeAqBe@{@g@eAg@y@wAqCyAqCa@{@_AkB}@mB{@kBi@cAe@{@QYk@_A}@uA}@wAWa@Ym@g@iAs@_B_AoBq@}Aw@eB]}@Um@GOEW{@}ESoAYeBCKG[?CGa@c@cCE]Km@Ik@E[GYIg@G]S{@I[Oe@Si@GQISAEMYSe@O[MWS]MSMSU]CEEEKOKMIKCCKOSY[_@GKk@s@}AsB]c@Y]SWU[U[aAcAo@o@MKKKA?USu@m@gA{@mAs@yA{@mAo@iAq@s@c@AAs@_@QMk@YQMQOMKUQMMY[WWMOMOMOOSMQOUOUMUMUO[MSKUKUM[MWIWKWIYKWIWIYIYGYIYGYIg@Mi@Kg@Ki@OcAM}@Ga@UcCE[?AC_@Gw@GmAAYCw@EwACoACw@Cs@Em@k@iICo@E}@aAeN_AcNC_@K}AO{BGi@Ik@Ik@G_@Km@UcAQs@Ma@e@wAe@yA}AqEa@sA[cA[cAW}@[oASw@YgAYgAOe@Uo@c@iA_@u@We@Wc@]g@e@m@a@i@m@s@Ya@GGEGACCCACCCCEGICEAACAMSCCSWAA]c@qBmCgAwAsAgBgAwA?Aa@g@e@k@OUYc@c@i@g@m@UQMKCAGGc@W]Qa@O[KYE]Gk@Ew@A[BUBw@Ja@HeAb@kAb@gCtAiB|@aAl@QJQJMFA?EBQJmAn@OJ{Az@g@Vk@TG@MDo@L{@JY@Y@gAJeAHu@Fo@P_@JC?QHSH[Na@To@\yAv@m@Xo@^m@\g@X??k@Pe@PiDlAc@Li@LGBA?w@Pi@Hi@Hc@BOBU@Y?M?Y?UAGA]CWGUEMEIC_@M[Kg@Sk@YoAs@g@]WOg@[MIoBsAeDqBgDqBMI]Wo@_@i@]_@W]W]a@_@g@]k@a@m@Y_@[YYWGEMGGEIEMEAAGCc@K??MCg@Mi@SYOUSQQOSOWMWS{@ESCKAKAK?AAOAKCmBCmAC{@EqAEm@AMAGACEIAK?WAWEa@A_@KqA?CA??AEk@Q_Cc@wDK_AO}@G]_@_Cg@{C[cBk@aCo@gCi@iB_@mAe@sAk@}Ae@mAo@}Ae@eAg@gAqAqCm@oAO[c@aAe@}@Uk@a@kAYaAMa@U}@EQ]{A[mBOuAACCW?CCKEg@QwA??H}A@uAPiI@q@?[A]A[C]E[ESEQ??Se@ACCEO[CGACCCGIOSQOMMAACCMKSOSMSMOIQGOGMEOCQCMAO?WFG?KBIBUF??]\QNIJ,eszwFvzzaMCDORGRQh@Ut@I\GXEZCXCZA\?\?Z@ZB^BTDt@DZHTHVLXLVLNFNJH@?LFPDVDN?NALALCXKTOTOVWRWR_@Rm@HYNW??Jq@Hw@@[@YBmABy@?A@OD{AC[@I?I?K?E@E?E@G@G@I@G@I@GDKBIDKBI@EBIVy@Zy@P]N_@b@eAZu@Xq@??@M?G?G?EAIAG?EAGCCCECEEC[[Y]c@_@??QWAACCACACACAC?C?EAC?E@C?C?C@C?C@C@C@C@A@C@A@A?A@ABA@ABA@ABA@?B?B?D?B@B?B@D@D@BDBBFH`@\??JLnBzBlBzBPVLZFRFTFVF`@??@\G\CNGXIRKVsAdCS`@aBdDQn@Kv@Gt@?P?f@Dh@BPJn@Nr@TnA??m@?IAMGIGIIEIEMCMAM?e@?uA@iEBcCX{D??|@oClAwCb@y@Ti@@ALWnCyE~BoDtC{DxCeDbEcELM`Aw@nEkDpB{Aj@a@|AiAfAy@ZYzC}BdA}@?AJI`BgBv@qAVe@Ra@Vm@b@gAPe@l@wBXcAf@yA\s@^q@v@gANOBCd@c@FEj@i@j@g@BALK@?NKBAZSJKf@WbAi@dAc@LGd@SNEx@WhAYbB]rAUfAWl@K\GT@`@KfCo@`Bi@vAm@tB}@|BaA~CoAdCcAd@Uh@[t@e@pA{@hFuDlA}@PK@A~A_AjAq@RKpAo@r@]|Am@nAe@j@U`Bk@jAe@`DeA~Bq@zBg@hB_@bCa@^Gh@K@?REDAd@IZG`AKvAQtAOpAClBItCM`AGdAMpB[fAWbAYzAm@@?NG~@c@~BiAl@_@`@Yv@k@ZUf@]jDkDrDcEx@{@lAkAbA}@bA{@~AiAv@k@x@g@x@e@~FkC@ABATKjBo@@?h@SbBo@lAe@~BeApCwAJGpCeBlAu@TO?A@?vI}GpDaDFGvBwBdBeBp@y@v@_Af@u@HQ??JIDGFGDIFODKJUNa@Pk@Rs@PoARuALs@d@aCJs@@CBO@C?EBK^sBVoADKBKNc@\s@@?DKDGJWLU@?BGJORYT[nAsA~AuAzAeABABC^SZG??h@_@XS@?l@e@FCj@e@x@s@b@c@l@q@`AqAJOr@_Ab@m@|@kALOPQn@s@b@a@LMFIx@s@@ADEZUb@YBATOnAu@tA_Av@a@@?HEl@[xE{BJEpBcALIDAh@Yj@Y|DcB`C}@DCJCn@UfE{APG`@M?ABADAx@[zHkCn@UbAg@fCcAzCuAj@Ud@Uj@YDCd@UxAu@@ANIFCDCf@WrGiDbBy@vAm@`Bu@VOPKZKpAo@tCoAlB_ALGPIvNyGjCiAnDcBpBaALGNIxBgAd@Sh@YtB}@zHuCtDwAJEbOkFxAi@~L{Ex@a@\IpCgA~IkDb@OZI@A^Kn@ORGZIXGLCZGLCZEb@If@GZCp@C`EI|G@nDLH?\@@?^@zCH`AJp@FjAPRB^D~Bd@VFRDn@PhA^@?F@z@VDBBBDBDBD@FBLBPFRH\Pd@T\Th@\LJz@r@ZZ^b@\ZtAnAJFRNHDfD~CrBjB|@p@bAt@ZRXNd@XTLFBDBv@^hBt@bBf@`B\^HJ@h@FJ??@T@JBRBT@TBT@T@R@V@T?T@T?T?p@CN?TATAd@ANCZCn@Ir@K`AQn@OTGz@Uz@[r@YLETM@ARI`@SlBgArBiAfBkApA{@bAw@hA{@?ALIxAmAbBwA~CsCdAcA|AcBhBsBv@aAPWNMPWNULUNWLUJWLWJWJWJUJWHWJWHWHYH[FWHYF[FYF[FYFYD[D]BYD[D[B]B[DY@[@]By@@q@@o@As@?Q?]A_@AOAc@C}@Aa@AI?SA[??He@LmADy@@K@o@?k@??D[@W?SA}@Ak@B_@?K@QAO?K@O?M?K@MBO@OBM@OBI@G?E?GAC?CAGAI@E?C?C@Q??HCBCBCDCDCZ_@hAs@v@k@bBiAVUXMFATCHA@ALA@AHCJIPQJOFKNWJ[FSPq@Hu@??Z]HK
9AAAA2F956089FE51E971AC4941548CB,3/15/13 8:10,3/15/13 9:21,1,-73.787743,40.641533,-73.982147,40.755276,52,CSH,0,0.5,0,5.33,57.83,3/15/13 9:24,7,sx`wFhtjaMFI??FGPUT[DKDKDS@S?W?WA{@CYGOMYIKCEEECEECECCAC?M?w@?q@Hu@FSCO?C?a@Ho@N??O@MBI@M?IAE?CCEAEAGEGEECIGGECCECUSEECCCAA?CAA?AAC?C?C?C?C@A?A@OJg@d@UPo@f@c@^A?A@GFKHA?C@E@EBEBC??@QFA?m@TMBQDS@a@@WASASCk@M??EUCGEGGOCMCOAO?S?K@KDQDMHQJIHIHGJCJCJ?J?NBLDLFJFHFXZLHXl@Tj@Pt@Hf@?BF`@BRDf@@\@LD\???|A@dC@^?v@?`C?tA@dBDrDJhEDfA@\@^@XBx@FrB?@@b@Bv@Bd@B`B?t@?l@Ab@?TARAR?PAJAPCRC^??CVIv@QlAIh@SfAUbAUz@]fA}@tBGL_@r@OX_@j@GJ{@jAqAxAmBpBqDlDcBzAy@r@g@`@m@d@e@^A?}AjAyBzA_CzAoBhA}BlAULA?QHEBUHSHUHSHUHSHUFSFUFUFSDSDUDUFUBUDSBUBUDU@SBU@UBU?M@]@U@U?U?U@UAS?WASAUAUAUAUCUCKAQAA?aAOaAOgAY{@WUGi@Sg@S_Aa@SKMGCCQIKG_Ak@UOUOi@c@q@i@s@aA_@m@Sc@KUGQISGUi@wBi@kAIQKQOSQWOOMQQOUSMIQMKGKEIEKEc@OWI_@Iy@Ok@Gk@Co@EqBKo@GOAA?a@Ic@Ik@Mc@Ii@MSGA?s@MIAIA?AE?_AMcAOu@Gc@E_AIi@EcACeAGM?cAC{@CaAAaAA_EAmELsCXgCd@]Ha@Fe@Jq@Ts@TcA^sEfBkE`BWHu@V?@g@PeC~@cBl@cFnBqHnCeE|Ak@VA?_DnA{EhBs@Xk@R{@\eAb@kAf@iAh@mAf@iB|@oB~@oCtAIF_@PgBx@eHdD_CdAKFGBEBG@KFs@ZeIvDQDEBIDc@PoAn@m@Zq@X}@b@eB|@yBnA_@Tq@Za@TSLC@u@^i@XaAb@kAh@{BdAgCfAuAl@ODm@PaA\w@\_GtBKDiDlAu@XwAf@G@w@XiAb@mBx@qCnAk@ZGBkCpAEB}Av@a@Ra@Rg@Xi@Vu@^GDC@GBq@ZyA|@a@X}@p@iA|@q@n@_@`@[XWXIJKJ[b@c@j@i@r@i@r@A??@eAxAY\Y\WVIH[VmBrASJa@Ti@RSHKDYLYNYPQJSLo@d@q@j@cAz@[ZKHYTGBMLA@A?MJA@SJYNCBGBEBQHMDE@GBIDMBq@RC?C@c@Hg@DM?C?G@[@O?C?w@?WACAc@I{BMOEM?]EQAKA]CWAUAIAU@M?k@@g@BSBa@FaARUHQFg@Rk@Vc@Vs@^}BnAoAp@WP[Ti@b@kA`Ag@f@c@d@SR[^OPMRa@f@Yb@]f@e@x@Wd@_BrCo@bA}@lAk@j@a@\q@f@aAj@kAf@_A`@UJIByMvFuCjAiKlEYNy@\{@\]NSF[Ji@NMBc@J_@Fi@FMBM@K@Q@kBHqFPG?aBFiAFe@D]DWBm@J}AT}@P}Cr@qBb@A?A?C@IBi@L??QCeALG@G@U@M@Q?KASCSEc@QIGA?QMYWY[AAa@]QESEQ?Q@A?A?IBIBA??@G@SNQRKRA?ABIXAFETAT?B?N?H@H@PBNBL?@@@@DBLFLFPhAlCLf@Zt@@D?@rCxGxBtFJVFNDJDHDD@@PR??z@xBx@zBr@pBrAbDBH@@BFJX@B@BJV@F@@JX@B\|@|BdGJV?@BDh@zA`ArCj@fB`@|AfAhEPr@\bBTlAPfARrADVJ~@TxBNpBJbAHx@RbBh@nDl@vCNt@z@~DTjA@@?@@HxAzHf@vBl@xCv@nDrBzJ?@f@`CNdAfC|KXnADL@BF\@??BFR?@@DH^J`@?@FRNt@@BDV~A~GVvA?@Nv@TnAn@|CdBnI`@pBn@`D^hBVlAPr@Pr@ZjAh@dB?@h@`Bp@|BRr@Pp@Nt@Lp@Lx@Ht@Hv@Ft@Dt@FlABn@?@@p@`@|KDv@Dv@Fv@Ht@Jv@Jv@Nv@Nr@Np@JZHVJ\FVHRL\P`@Rd@Vh@Vf@j@jAZp@b@x@Vf@Vf@Tf@Rb@Pf@Tp@Nb@Lb@J^F\H^Lj@Hd@Hl@Fd@Dd@D`@Df@Dl@Bz@Bt@@x@?t@Ap@Aj@Cr@Cf@Cj@q@tOSjFSlEKjCGpAEz@Cz@E|@Ez@Ez@A|@CZC`@E`@CZE\CZG^EZG\G\EXIZGXI^IXI\KZIVK\KXKXMXKXMXMVKTYj@a@t@yAnCcAhBuCrFKRKTKXKVITKVKXIVIVIXIXIZIXGXGXGZGZE\oAbIEZEZGZEVGZoDtRGXGZGXGXIXIXIVIXKXITKVKXKVKVKRMVKRMVOTQX[b@[d@eA|Ay@fASXUZKNKPuAnBCBABIJABKNA@EFCBEJSXu@tAGNKT?@GLEHMZWn@u@|BOh@[rAUbASjAQnAS~A_AfIu@~Gk@|EIn@AB?BGl@Ez@w@vJs@pGE\?@YjCEf@APQbDCb@C\?@?JGx@Eb@ADGd@EXW`BCRG\Qv@a@dBIVAFOf@AFA@M`@Ut@M\Wt@Ob@_CpHOd@A@aAzC_@nAOb@Sp@[vAERERQdAUdBk@dFGf@oA~KATCV?@?FCd@Al@@d@@`@B`@@b@BZFv@LhB@P?L@B?D?@?P?@?D@J?H?`@ARCr@Ar@A`@At@?Z?T@P?P@~@@~@?Z?^?t@Cz@Ep@u@pGCR?@?@E^A?YhCGh@AB?@Gd@UvAERO`AUbAU|@_@dAo@zAm@pAs@jAs@hAcVp]i@`Ac@~@]z@Ul@CHGTCFCHQz@AHMj@Cd@AZ?BAf@@\B`@Hd@Lb@Rj@@B@BN\FJFLNX@??@RXVXJH|BxAjBlALJDBTTTVLTJ\D\Bb@?N?TAd@AZAJALCLAJITQh@?@CF?@A@Yv@??KVc@hA}A~EKFC@ABCBCBEBC@E?E?IA??_BcASM{ByA??a@rAc@tAiBtF_@jAaCpHOd@aBfF_@jA??yB}A{BwAmAy@w@g@uA_Ao@c@??cBjFc@tAeDfK,u}vwFvtpbMcAbDe@vA??}B{A??`FyOl@iB??l@`@\R
9AAAA2F956089FE51E971AC4941548CB,3/15/13 9:24,3/15/13 9:47,1,-73.980324,40.754456,-73.960457,40.817799,21.5,CRD,0,0.5,3,0,25,3/15/13 9:51,8,azvwFhgpbMp@d@??iFjPe@vAsEzNW~@CHkEzMa@lA??}B}A{ByA}ByA{B}A}BwA{B{A}ByA}B{A{B{A}ByA}ByA{B}A}ByAeCcB??oBfG_CpHoFvPeDjKENaAxCcA~CkCrHM`@Y~@??_@Qg@Wa@UuA}@}@m@CCQKqAw@_FuCaB_AiBkAcQgLYQ?AA?WQmBoAcAq@KGAAYS}@m@YQSOKGIIMIKKUUk@g@[]cBaBOOCCQMoCiB_BeAg@[_@WsA{@iCeBuA{@_Am@cAk@?ASKKIUMm@]o@[u@]e@O}@[c@Mi@QmA]oA[}@UQGC?UI}By@aCaAyAu@ICuAs@o@a@}A_A{ByAkBuAsBeBaA}@i@k@eAkAW[GGACCAY]cFwGY]MQII[[SOQQOIOMQKSKSKQISI[M[KWI]Ik@OsFwAe@KA?ICWGsA_@]Kc@O}@]aCkAaB_AmBgAeEmC{GqEgCgBoK{HcAq@uA}@_CyAuC_BuC}AsBiAe@YA?s@c@??GMEIGGEE_@]USWQqAaAeBwAo@i@KIuCaCUO{@o@i@_@m@a@YQg@[gAm@oAw@]Sq@g@[SYSWQu@s@{@y@QQqA{A[i@Q]Si@??Ts@BI@A@CBK??PJPHLDVBPAPEPGPMRKRINGFATAT?R@RDF?R@rChBtFnD??@L@HCHABKD??QESIQMSKy@g@}@m@OIMGSIEAUGYGc@I_AMS@MB_@FQBG?O?G?IAIAGCIAG?MG}AgAc@WCCYQ]U,ifcxF`llbMmG_EmHuES]S[OWCICIEMCIAIG[CIAGCI??Vy@hDsK??`GzD|B~A~BzA|BvAvBzAlBtAtAz@
9AAAA2F956089FE51E971AC4941548CB,3/15/13 9:51,3/15/13 10:10,1,-73.958702,40.815399,-73.985641,40.768238,16.5,CSH,0,0.5,0,0,17,3/15/13 10:12,9,gwbxFz`lbMj@^nCfBzBvAdKvG|BzAfC`BnBpA|B|AbBbAdDzBfC~A|B|A|BvAzB|ApA|@j@\`C|AvBvAjBlARHRFf@N\FVD^DdDThDLZDL@RDPDZHf@LfCbA~BvA~BzAzBzAxBzA|B|AxB|AfAp@`An@j@b@j@`@j@`@b@V|A|@|B`B|BvAzB|A~B|AzBvAxBzA|BzA`CnBbCnBzBjBzBxA`CbBvBxA`CvAfCdBdCfBhC`ApCn@rCn@pCj@nCh@jAVvARvBPp@?tAFL?v@@dBD|@BbDBzCH~CDlDEl@At@C??x@r@t@d@f@^NJnAz@h@^~BtAjBpALHbCzA??p@d@hAt@nAx@,epywFnhqbMt@f@fC`B|BxA|BxAhAv@
